Age,5km,6km,4Mile,8km,5Mile,10km,12km,15km,10Mile,20km,H. Mar,25km,30km,Marathon,50km,50Mile,100km,150km,100Mile,200km
16,0.9670,0.9670,0.9670,0.9670,0.9670,0.9667,0.9656,0.9615,0.9588,0.9546,0.9533,0.9505,0.9478,0.9450,0.9450,0.9450,0.9450,0.9450,0.9450,0.9450
17,0.9790,0.9790,0.9790,0.9790,0.9790,0.9788,0.9781,0.9755,0.9738,0.9711,0.9703,0.9685,0.9668,0.9650,0.9650,0.9650,0.9650,0.9650,0.9650,0.9650
18,0.9893,0.9893,0.9893,0.9893,0.9893,0.9892,0.9888,0.9875,0.9866,0.9853,0.9848,0.9839,0.9830,0.9821,0.9821,0.9821,0.9821,0.9821,0.9821,0.9821
19,0.9961,0.9961,0.9961,0.9961,0.9961,0.9961,0.9960,0.9955,0.9952,0.9947,0.9945,0.9942,0.9939,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936
20,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9995,0.9995,0.9994,0.9994,0.9994,0.9993,0.9993,0.9993,0.9993,0.9993,0.9993,0.9993,0.9993
21,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
22,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
23,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
24,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
25,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
26,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
27,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
28,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
29,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
30,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996
31,0.9989,0.9989,0.9989,0.9989,0.9989,0.9989,0.9989,0.9989,0.9989,0.9989,0.9989,0.9988,0.9987,0.9983,0.9983,0.9983,0.9983,0.9983,0.9983,0.9983
32,0.9976,0.9976,0.9976,0.9976,0.9976,0.9976,0.9976,0.9976,0.9976,0.9976,0.9976,0.9974,0.9971,0.9962,0.9962,0.9962,0.9962,0.9962,0.9962,0.9962
33,0.9957,0.9957,0.9957,0.9957,0.9957,0.9957,0.9957,0.9957,0.9957,0.9957,0.9957,0.9953,0.9948,0.9933,0.9933,0.9933,0.9933,0.9933,0.9933,0.9933
34,0.9934,0.9934,0.9934,0.9934,0.9934,0.9934,0.9934,0.9934,0.9934,0.9934,0.9934,0.9927,0.9918,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895,0.9895
35,0.9904,0.9904,0.9904,0.9904,0.9904,0.9904,0.9904,0.9904,0.9904,0.9904,0.9904,0.9895,0.9882,0.9849,0.9849,0.9849,0.9849,0.9849,0.9849,0.9849
36,0.9870,0.9870,0.9870,0.9870,0.9870,0.9870,0.9870,0.9870,0.9870,0.9870,0.9870,0.9857,0.9840,0.9795,0.9795,0.9795,0.9795,0.9795,0.9795,0.9795
37,0.9830,0.9830,0.9830,0.9830,0.9830,0.9830,0.9830,0.9830,0.9830,0.9830,0.9830,0.9813,0.9791,0.9732,0.9732,0.9732,0.9732,0.9732,0.9732,0.9732
38,0.9785,0.9785,0.9785,0.9785,0.9785,0.9785,0.9785,0.9785,0.9785,0.9785,0.9785,0.9763,0.9736,0.9660,0.9660,0.9660,0.9660,0.9660,0.9660,0.9660
39,0.9734,0.9734,0.9734,0.9734,0.9734,0.9734,0.9734,0.9734,0.9734,0.9734,0.9734,0.9708,0.9673,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581
40,0.9678,0.9678,0.9678,0.9678,0.9678,0.9678,0.9678,0.9678,0.9678,0.9678,0.9678,0.9647,0.9605,0.9493,0.9493,0.9493,0.9493,0.9493,0.9493,0.9493
41,0.9617,0.9617,0.9617,0.9617,0.9617,0.9617,0.9617,0.9617,0.9617,0.9617,0.9617,0.9579,0.9530,0.9396,0.9396,0.9396,0.9396,0.9396,0.9396,0.9396
42,0.9551,0.9551,0.9551,0.9551,0.9551,0.9551,0.9551,0.9551,0.9551,0.9551,0.9551,0.9506,0.9448,0.9292,0.9292,0.9292,0.9292,0.9292,0.9292,0.9292
43,0.9479,0.9479,0.9479,0.9479,0.9479,0.9479,0.9479,0.9479,0.9479,0.9479,0.9479,0.9428,0.9360,0.9183,0.9183,0.9183,0.9183,0.9183,0.9183,0.9183
44,0.9402,0.9402,0.9402,0.9402,0.9402,0.9402,0.9402,0.9402,0.9402,0.9402,0.9402,0.9343,0.9265,0.9074,0.9074,0.9074,0.9074,0.9074,0.9074,0.9074
45,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9319,0.9252,0.9164,0.8965,0.8965,0.8965,0.8965,0.8965,0.8965,0.8965
46,0.9232,0.9232,0.9232,0.9232,0.9232,0.9232,0.9232,0.9232,0.9232,0.9232,0.9232,0.9156,0.9057,0.8856,0.8856,0.8856,0.8856,0.8856,0.8856,0.8856
47,0.9139,0.9139,0.9139,0.9139,0.9139,0.9139,0.9139,0.9139,0.9139,0.9139,0.9139,0.9054,0.8948,0.8747,0.8747,0.8747,0.8747,0.8747,0.8747,0.8747
48,0.9040,0.9040,0.9040,0.9040,0.9040,0.9040,0.9040,0.9040,0.9040,0.9040,0.9040,0.8946,0.8839,0.8638,0.8638,0.8638,0.8638,0.8638,0.8638,0.8638
49,0.8937,0.8937,0.8937,0.8937,0.8937,0.8937,0.8937,0.8937,0.8937,0.8937,0.8937,0.8837,0.8730,0.8529,0.8529,0.8529,0.8529,0.8529,0.8529,0.8529
50,0.8828,0.8828,0.8828,0.8828,0.8828,0.8828,0.8828,0.8828,0.8828,0.8828,0.8828,0.8728,0.8621,0.8420,0.8420,0.8420,0.8420,0.8420,0.8420,0.8420
51,0.8719,0.8719,0.8719,0.8719,0.8719,0.8719,0.8719,0.8719,0.8719,0.8719,0.8719,0.8619,0.8512,0.8311,0.8311,0.8311,0.8311,0.8311,0.8311,0.8311
52,0.8610,0.8610,0.8610,0.8610,0.8610,0.8610,0.8610,0.8610,0.8610,0.8610,0.8610,0.8510,0.8403,0.8202,0.8202,0.8202,0.8202,0.8202,0.8202,0.8202
53,0.8501,0.8501,0.8501,0.8501,0.8501,0.8501,0.8501,0.8501,0.8501,0.8501,0.8501,0.8401,0.8294,0.8093,0.8093,0.8093,0.8093,0.8093,0.8093,0.8093
54,0.8392,0.8392,0.8392,0.8392,0.8392,0.8392,0.8392,0.8392,0.8392,0.8392,0.8392,0.8292,0.8185,0.7984,0.7984,0.7984,0.7984,0.7984,0.7984,0.7984
55,0.8283,0.8283,0.8283,0.8283,0.8283,0.8283,0.8283,0.8283,0.8283,0.8283,0.8283,0.8183,0.8076,0.7875,0.7875,0.7875,0.7875,0.7875,0.7875,0.7875
56,0.8174,0.8174,0.8174,0.8174,0.8174,0.8174,0.8174,0.8174,0.8174,0.8174,0.8174,0.8074,0.7967,0.7766,0.7766,0.7766,0.7766,0.7766,0.7766,0.7766
57,0.8065,0.8065,0.8065,0.8065,0.8065,0.8065,0.8065,0.8065,0.8065,0.8065,0.8065,0.7965,0.7858,0.7657,0.7657,0.7657,0.7657,0.7657,0.7657,0.7657
58,0.7956,0.7956,0.7956,0.7956,0.7956,0.7956,0.7956,0.7956,0.7956,0.7956,0.7956,0.7856,0.7749,0.7548,0.7548,0.7548,0.7548,0.7548,0.7548,0.7548
59,0.7847,0.7847,0.7847,0.7847,0.7847,0.7847,0.7847,0.7847,0.7847,0.7847,0.7847,0.7747,0.7640,0.7439,0.7439,0.7439,0.7439,0.7439,0.7439,0.7439
60,0.7738,0.7738,0.7738,0.7738,0.7738,0.7738,0.7738,0.7738,0.7738,0.7738,0.7738,0.7638,0.7531,0.7330,0.7330,0.7330,0.7330,0.7330,0.7330,0.7330
61,0.7629,0.7629,0.7629,0.7629,0.7629,0.7629,0.7629,0.7629,0.7629,0.7629,0.7629,0.7529,0.7422,0.7221,0.7221,0.7221,0.7221,0.7221,0.7221,0.7221
62,0.7520,0.7520,0.7520,0.7520,0.7520,0.7520,0.7520,0.7520,0.7520,0.7520,0.7520,0.7420,0.7313,0.7112,0.7112,0.7112,0.7112,0.7112,0.7112,0.7112
63,0.7411,0.7411,0.7411,0.7411,0.7411,0.7411,0.7411,0.7411,0.7411,0.7411,0.7411,0.7311,0.7204,0.7003,0.7003,0.7003,0.7003,0.7003,0.7003,0.7003
64,0.7302,0.7302,0.7302,0.7302,0.7302,0.7302,0.7302,0.7302,0.7302,0.7302,0.7302,0.7202,0.7095,0.6894,0.6894,0.6894,0.6894,0.6894,0.6894,0.6894
65,0.7193,0.7193,0.7193,0.7193,0.7193,0.7193,0.7193,0.7193,0.7193,0.7193,0.7193,0.7093,0.6986,0.6785,0.6785,0.6785,0.6785,0.6785,0.6785,0.6785
66,0.7084,0.7084,0.7084,0.7084,0.7084,0.7084,0.7084,0.7084,0.7084,0.7084,0.7084,0.6984,0.6877,0.6676,0.6676,0.6676,0.6676,0.6676,0.6676,0.6676
67,0.6975,0.6975,0.6975,0.6975,0.6975,0.6975,0.6975,0.6975,0.6975,0.6975,0.6975,0.6875,0.6768,0.6567,0.6567,0.6567,0.6567,0.6567,0.6567,0.6567
68,0.6866,0.6866,0.6866,0.6866,0.6866,0.6866,0.6866,0.6866,0.6866,0.6866,0.6866,0.6766,0.6659,0.6458,0.6458,0.6458,0.6458,0.6458,0.6458,0.6458
69,0.6757,0.6757,0.6757,0.6757,0.6757,0.6757,0.6757,0.6757,0.6757,0.6757,0.6757,0.6657,0.6550,0.6349,0.6349,0.6349,0.6349,0.6349,0.6349,0.6349
70,0.6648,0.6648,0.6648,0.6648,0.6648,0.6648,0.6648,0.6648,0.6648,0.6648,0.6648,0.6548,0.6441,0.6240,0.6240,0.6240,0.6240,0.6240,0.6240,0.6240
71,0.6539,0.6539,0.6539,0.6539,0.6539,0.6539,0.6539,0.6539,0.6539,0.6539,0.6539,0.6439,0.6332,0.6131,0.6131,0.6131,0.6131,0.6131,0.6131,0.6131
72,0.6430,0.6430,0.6430,0.6430,0.6430,0.6430,0.6430,0.6430,0.6430,0.6430,0.6430,0.6330,0.6223,0.6022,0.6022,0.6022,0.6022,0.6022,0.6022,0.6022
73,0.6321,0.6321,0.6321,0.6321,0.6321,0.6321,0.6321,0.6321,0.6321,0.6321,0.6321,0.6221,0.6114,0.5913,0.5913,0.5913,0.5913,0.5913,0.5913,0.5913
74,0.6212,0.6212,0.6212,0.6212,0.6212,0.6212,0.6212,0.6212,0.6212,0.6212,0.6212,0.6112,0.6005,0.5803,0.5803,0.5803,0.5803,0.5803,0.5803,0.5803
75,0.6103,0.6103,0.6103,0.6103,0.6103,0.6103,0.6103,0.6103,0.6103,0.6103,0.6103,0.6003,0.5896,0.5686,0.5686,0.5686,0.5686,0.5686,0.5686,0.5686
76,0.5994,0.5994,0.5994,0.5994,0.5994,0.5994,0.5994,0.5994,0.5994,0.5994,0.5994,0.5894,0.5787,0.5561,0.5561,0.5561,0.5561,0.5561,0.5561,0.5561
77,0.5885,0.5885,0.5885,0.5885,0.5885,0.5885,0.5885,0.5885,0.5885,0.5885,0.5885,0.5785,0.5675,0.5429,0.5429,0.5429,0.5429,0.5429,0.5429,0.5429
78,0.5776,0.5776,0.5776,0.5776,0.5776,0.5776,0.5776,0.5776,0.5776,0.5776,0.5776,0.5675,0.5553,0.5289,0.5289,0.5289,0.5289,0.5289,0.5289,0.5289
79,0.5667,0.5667,0.5667,0.5667,0.5667,0.5667,0.5667,0.5667,0.5667,0.5667,0.5667,0.5557,0.5421,0.5141,0.5141,0.5141,0.5141,0.5141,0.5141,0.5141
80,0.5552,0.5552,0.5552,0.5552,0.5552,0.5552,0.5552,0.5552,0.5552,0.5552,0.5552,0.5428,0.5280,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985
81,0.5425,0.5425,0.5425,0.5425,0.5425,0.5425,0.5425,0.5425,0.5425,0.5425,0.5425,0.5287,0.5128,0.4821,0.4821,0.4821,0.4821,0.4821,0.4821,0.4821
82,0.5286,0.5286,0.5286,0.5286,0.5286,0.5286,0.5286,0.5286,0.5286,0.5286,0.5286,0.5136,0.4967,0.4650,0.4650,0.4650,0.4650,0.4650,0.4650,0.4650
83,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.4974,0.4796,0.4471,0.4471,0.4471,0.4471,0.4471,0.4471,0.4471
84,0.4972,0.4972,0.4972,0.4972,0.4972,0.4972,0.4972,0.4972,0.4972,0.4972,0.4972,0.4801,0.4615,0.4284,0.4284,0.4284,0.4284,0.4284,0.4284,0.4284
85,0.4797,0.4797,0.4797,0.4797,0.4797,0.4797,0.4797,0.4797,0.4797,0.4797,0.4797,0.4616,0.4425,0.4089,0.4089,0.4089,0.4089,0.4089,0.4089,0.4089
86,0.4610,0.4610,0.4610,0.4610,0.4610,0.4610,0.4610,0.4610,0.4610,0.4610,0.4610,0.4421,0.4224,0.3886,0.3886,0.3886,0.3886,0.3886,0.3886,0.3886
87,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4215,0.4014,0.3676,0.3676,0.3676,0.3676,0.3676,0.3676,0.3676
88,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,0.3998,0.3793,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458
89,0.3977,0.3977,0.3977,0.3977,0.3977,0.3977,0.3977,0.3977,0.3977,0.3977,0.3977,0.3770,0.3563,0.3232,0.3232,0.3232,0.3232,0.3232,0.3232,0.3232
90,0.3742,0.3742,0.3742,0.3742,0.3742,0.3742,0.3742,0.3742,0.3742,0.3742,0.3742,0.3531,0.3323,0.2998,0.2998,0.2998,0.2998,0.2998,0.2998,0.2998
91,0.3495,0.3495,0.3495,0.3495,0.3495,0.3495,0.3495,0.3495,0.3495,0.3495,0.3495,0.3281,0.3073,0.2756,0.2756,0.2756,0.2756,0.2756,0.2756,0.2756
92,0.3236,0.3236,0.3236,0.3236,0.3236,0.3236,0.3236,0.3236,0.3236,0.3236,0.3236,0.3019,0.2813,0.2507,0.2507,0.2507,0.2507,0.2507,0.2507,0.2507
93,0.2965,0.2965,0.2965,0.2965,0.2965,0.2965,0.2965,0.2965,0.2965,0.2965,0.2965,0.2747,0.2544,0.2250,0.2250,0.2250,0.2250,0.2250,0.2250,0.2250
94,0.2682,0.2682,0.2682,0.2682,0.2682,0.2682,0.2682,0.2682,0.2682,0.2682,0.2682,0.2464,0.2264,0.1985,0.1985,0.1985,0.1985,0.1985,0.1985,0.1985
95,0.2387,0.2387,0.2387,0.2387,0.2387,0.2387,0.2387,0.2387,0.2387,0.2387,0.2387,0.2170,0.1975,0.1712,0.1712,0.1712,0.1712,0.1712,0.1712,0.1712
96,0.2080,0.2080,0.2080,0.2080,0.2080,0.2080,0.2080,0.2080,0.2080,0.2080,0.2080,0.1865,0.1676,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431
97,0.1761,0.1761,0.1761,0.1761,0.1761,0.1761,0.1761,0.1761,0.1761,0.1761,0.1761,0.1549,0.1367,0.1143,0.1143,0.1143,0.1143,0.1143,0.1143,0.1143
98,0.1430,0.1430,0.1430,0.1430,0.1430,0.1430,0.1430,0.1430,0.1430,0.1430,0.1430,0.1222,0.1048,0.0847,0.0847,0.0847,0.0847,0.0847,0.0847,0.0847
99,0.1087,0.1087,0.1087,0.1087,0.1087,0.1087,0.1087,0.1087,0.1087,0.1087,0.1087,0.0885,0.0719,0.0543,0.0543,0.0543,0.0543,0.0543,0.0543,0.0543
100,0.0732,0.0732,0.0732,0.0732,0.0732,0.0732,0.0732,0.0732,0.0732,0.0732,0.0732,0.0536,0.0380,0.0231,0.0231,0.0231,0.0231,0.0231,0.0231,0.0231
