Age,5km,6km,4Mile,8km,5Mile,10km,12km,15km,10Mile,20km,H. Mar,25km,30km,Marathon,50km,50Mile,100km,150km,100Mile,200km
52,0.8606,0.8606,0.8606,0.8606,0.8606,0.8606,0.8625,0.8650,0.8659,0.8686,0.8693,0.8717,0.8743,0.8797,0.8797,0.8797,0.8797,0.8797,0.8797,0.8797
53,0.8536,0.8536,0.8536,0.8536,0.8536,0.8536,0.8553,0.8577,0.8585,0.8611,0.8618,0.8640,0.8666,0.8717,0.8717,0.8717,0.8717,0.8717,0.8717,0.8717
54,0.8465,0.8465,0.8465,0.8465,0.8465,0.8465,0.8482,0.8504,0.8511,0.8536,0.8542,0.8563,0.8588,0.8637,0.8637,0.8637,0.8637,0.8637,0.8637,0.8637
55,0.8395,0.8395,0.8395,0.8395,0.8395,0.8395,0.8410,0.8431,0.8438,0.8461,0.8467,0.8487,0.8510,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556,0.8556
56,0.8324,0.8324,0.8324,0.8324,0.8324,0.8324,0.8338,0.8358,0.8364,0.8386,0.8392,0.8410,0.8432,0.8476,0.8476,0.8476,0.8476,0.8476,0.8476,0.8476
57,0.8254,0.8254,0.8254,0.8254,0.8254,0.8254,0.8267,0.8284,0.8290,0.8311,0.8316,0.8333,0.8354,0.8396,0.8396,0.8396,0.8396,0.8396,0.8396,0.8396
58,0.8184,0.8184,0.8184,0.8184,0.8184,0.8184,0.8195,0.8211,0.8217,0.8235,0.8241,0.8257,0.8276,0.8316,0.8316,0.8316,0.8316,0.8316,0.8316,0.8316
59,0.8113,0.8113,0.8113,0.8113,0.8113,0.8113,0.8123,0.8138,0.8143,0.8160,0.8165,0.8180,0.8198,0.8236,0.8236,0.8236,0.8236,0.8236,0.8236,0.8236
60,0.8043,0.8043,0.8043,0.8043,0.8043,0.8043,0.8052,0.8065,0.8070,0.8085,0.8090,0.8104,0.8120,0.8155,0.8155,0.8155,0.8155,0.8155,0.8155,0.8155
61,0.7972,0.7972,0.7972,0.7972,0.7972,0.7972,0.7980,0.7992,0.7996,0.8010,0.8014,0.8027,0.8042,0.8075,0.8075,0.8075,0.8075,0.8075,0.8075,0.8075
62,0.7902,0.7902,0.7902,0.7902,0.7902,0.7902,0.7908,0.7919,0.7922,0.7935,0.7939,0.7950,0.7965,0.7995,0.7995,0.7995,0.7995,0.7995,0.7995,0.7995
63,0.7832,0.7832,0.7832,0.7832,0.7832,0.7832,0.7837,0.7845,0.7849,0.7860,0.7863,0.7874,0.7887,0.7915,0.7915,0.7915,0.7915,0.7915,0.7915,0.7915
64,0.7761,0.7761,0.7761,0.7761,0.7761,0.7761,0.7765,0.7772,0.7775,0.7785,0.7788,0.7797,0.7809,0.7835,0.7835,0.7835,0.7835,0.7835,0.7835,0.7835
65,0.7691,0.7691,0.7691,0.7691,0.7691,0.7691,0.7694,0.7699,0.7701,0.7710,0.7712,0.7720,0.7731,0.7754,0.7754,0.7754,0.7754,0.7754,0.7754,0.7754
66,0.7620,0.7620,0.7620,0.7620,0.7620,0.7620,0.7622,0.7626,0.7628,0.7634,0.7637,0.7644,0.7653,0.7674,0.7674,0.7674,0.7674,0.7674,0.7674,0.7674
67,0.7550,0.7550,0.7550,0.7550,0.7550,0.7550,0.7550,0.7553,0.7554,0.7559,0.7561,0.7567,0.7575,0.7594,0.7594,0.7594,0.7594,0.7594,0.7594,0.7594
68,0.7479,0.7479,0.7479,0.7479,0.7479,0.7479,0.7479,0.7480,0.7480,0.7484,0.7486,0.7490,0.7497,0.7514,0.7514,0.7514,0.7514,0.7514,0.7514,0.7514
69,0.7402,0.7402,0.7402,0.7402,0.7402,0.7402,0.7404,0.7406,0.7407,0.7409,0.7410,0.7414,0.7419,0.7434,0.7434,0.7434,0.7434,0.7434,0.7434,0.7434
